央视频道,#genre#
CCTV-1	,http://36.35.172.21:9901/tsfile/live/1000_1.m3u8
CCTV-2	,http://36.35.172.21:9901/tsfile/live/1001_1.m3u8
CCTV-3	,http://123.159.129.209:9901/tsfile/live/0003_1.m3u8
CCTV-4	,http://36.35.172.21:9901/tsfile/live/1003_1.m3u8
CCTV-5	,https://tvbox.nat.netsite.cc:8043/proxy/2118762958/2118762958.m3u8
CCTV-5+	,http://36.35.172.21:9901/tsfile/live/1004_1.m3u8
CCTV-6	,https://tvbox.nat.netsite.cc:8043/proxy/584456678/584456678.m3u8
CCTV-7	,http://36.35.172.21:9901/tsfile/live/1006_1.m3u8
CCTV-8	,http://123.159.129.209:9901/tsfile/live/0008_1.m3u8
CCTV-9	,http://36.35.172.21:9901/tsfile/live/1008_1.m3u8
CCTV-10	,http://36.35.172.21:9901/tsfile/live/1009_1.m3u8
CCTV-11	,http://36.35.172.21:9901/tsfile/live/1010_1.m3u8
CCTV-12	,http://36.35.172.21:9901/tsfile/live/1011_1.m3u8
CCTV-13	,https://tvbox.nat.netsite.cc:8043/proxy/1942371728/1942371728.m3u8
CCTV-14	,http://36.35.172.21:9901/tsfile/live/1013_1.m3u8
CCTV-15	,http://36.35.172.21:9901/tsfile/live/1014_1.m3u8
CCTV-16	,https://tvbox.nat.netsite.cc:8043/proxy/2055404079/2055404079.m3u8
CCTV-17	,https://tvbox.nat.netsite.cc:8043/proxy/199561397/199561397.m3u8
CGTN ,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8

卫视频道,#genre#
浙江卫视    ,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖南卫视	,http://36.35.172.21:9901/tsfile/live/1023_1.m3u8
北京卫视	,http://36.35.172.21:9901/tsfile/live/1024_1.m3u8
东方卫视	,http://36.35.172.21:9901/tsfile/live/1025_1.m3u8
辽宁卫视	,http://36.35.172.21:9901/tsfile/live/1026_1.m3u8
山东卫视	,http://36.35.172.21:9901/tsfile/live/1027_1.m3u8
广东卫视	,http://36.35.172.21:9901/tsfile/live/1028_1.m3u8
湖北卫视	,http://36.35.172.21:9901/tsfile/live/1029_1.m3u8
天津卫视	,http://36.35.172.21:9901/tsfile/live/1030_1.m3u8
江苏卫视	,http://36.35.172.21:9901/tsfile/live/1031_1.m3u8
深圳卫视	,http://36.35.172.21:9901/tsfile/live/1032_1.m3u8
黑龙江卫视	,http://36.35.172.21:9901/tsfile/live/1033_1.m3u8
河北卫视	,http://36.35.172.21:9901/tsfile/live/1040_1.m3u8

浙江频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
